Fighter,Division,Stance,top10_wins,elo_avg,elo_max,years_in_top10,years_champ,ko_percentage,win_percentage
Stevie Johnston,Lightweight,Southpaw,0.0833333333333,1304.83220532,1409.42791106,10,0,0.354166666667,0.854166666667
Johnny Farr,NA,NA,0.0833333333333,1216.14516289,1324.59612068,3,0,0.0454545454545,0.378787878788
Ruben Navarro,Welterweight,Orthodox,0.0833333333333,1219.18821725,1284.10866662,4,0,0.3125,0.6875
Dai Dower,NA,NA,0.0833333333333,1311.82986989,1400.39300785,4,0,0.305555555556,0.916666666667
Mahyar Monshipour,Super Bantamweight,Orthodox,0.0833333333333,1263.0396428,1341.85504395,3,0,0.416666666667,0.833333333333
Cristian Mijares,Featherweight,Southpaw,0.0833333333333,1260.23956228,1318.71278016,5,0,0.416666666667,0.833333333333
Sammy Dorfman,NA,NA,0.0823529411765,1241.04497069,1366.06194993,6,0,0.0941176470588,0.717647058824
Rodrigo Valdes,Middleweight,Orthodox,0.0821917808219,1278.15746179,1372.14549005,0,0,0.58904109589,0.86301369863
Baby Arizmendi,Featherweight,Orthodox,0.0820895522388,1252.53413835,1375.16852013,6,0,0.134328358209,0.664179104478
Elis Ask,NA,NA,0.0819672131148,1229.72349271,1289.11111701,1,0,0.262295081967,0.639344262295
Wilfred Benitez,Light Middleweight,Orthodox,0.0819672131148,1298.39104675,1386.13351376,9,3,0.459016393443,0.852459016393
Rory Calhoun,Middleweight,Orthodox,0.0819672131148,1275.10842263,1384.04887705,3,0,0.344262295082,0.72131147541
Benny Kid Paret,Welterweight,Orthodox,0.0816326530612,1265.4445258,1370.26431972,0,0,0.204081632653,0.69387755102
Alan Rudkin,Bantamweight,Orthodox,0.0816326530612,1310.50001312,1421.44165794,6,0,0.265306122449,0.836734693878
Hozumi Hasegawa,Super Bantamweight,Southpaw,0.0810810810811,1302.53149548,1377.37668596,7,0,0.405405405405,0.864864864865
Carlos Palomino,Welterweight,Orthodox,0.0810810810811,1258.84113289,1414.54652073,3,3,0.513513513514,0.810810810811
Paul Williams,Light Middleweight,Southpaw,0.0810810810811,1269.16069587,1355.00845818,5,0,0.418918918919,0.675675675676
Vicente Mijares,NA,NA,0.0810810810811,1302.32687159,1442.65185738,0,0,0.351351351351,0.783783783784
Cherif Hamia,NA,NA,0.0810810810811,1375.1117736,1468.3512164,2,0,0.189189189189,0.864864864865
Willie Davies,Flyweight,Orthodox,0.080985915493,1228.15484988,1332.68389777,0,0,0.0387323943662,0.591549295775
Jackie Fields,NA,NA,0.0807453416149,1230.6563625,1418.56946769,7,2,0.285714285714,0.627329192547
Sammy Fuller,NA,NA,0.08,1294.80618815,1382.43080367,5,0,0.28,0.72
Johnny Risko,Heavyweight,Orthodox,0.079754601227,1232.32632893,1328.52397462,7,0,0.147239263804,0.527607361963
Esteban De Jesus,Lightweight,Orthodox,0.0793650793651,1367.75482195,1475.30552204,8,0,0.507936507937,0.904761904762
Willie Pep,Featherweight,Orthodox,0.0791666666667,1428.22946489,1578.26212422,12,7,0.258333333333,0.95
Midget Wolgast,NA,NA,0.0790697674419,1274.15743828,1401.76989105,8,0,0.0744186046512,0.753488372093
Omar Nino Romero,Flyweight,Orthodox,0.0789473684211,1257.09365277,1319.19151901,5,0,0.289473684211,0.789473684211
Myung-Woo Yuh,Light Flyweight,Orthodox,0.0789473684211,1328.28116875,1432.08789931,5,0,0.368421052632,0.973684210526
Dickie O'Sullivan,Flyweight,Orthodox,0.0789473684211,1215.99779913,1287.7252118,2,0,0.315789473684,0.5
Alfonso Zamora,Bantamweight,Orthodox,0.0789473684211,1280.55011404,1382.62226358,5,2,0.815789473684,0.842105263158
Zahir Raheem,Light Welterweight,Orthodox,0.0789473684211,1310.16270173,1403.33323201,4,0,0.526315789474,0.894736842105
Frankie Ryff,NA,NA,0.0789473684211,1289.78259694,1366.20043266,2,0,0.105263157895,0.763157894737
Markus Beyer,Super Middleweight,Southpaw,0.0789473684211,1297.88299788,1379.88476007,7,0,0.315789473684,0.868421052632
Chris Eubank,Super Middleweight,Orthodox,0.078431372549,1315.93895504,1426.38996829,6,0,0.450980392157,0.862745098039
Luis Molina,NA,NA,0.078431372549,1254.65554691,1345.92118872,3,0,0.392156862745,0.666666666667
Slugger White,NA,NA,0.078125,1282.10117488,1354.50119134,0,0,0.203125,0.703125
Young Corbett III,Welterweight,Southpaw,0.0779220779221,1270.7394443,1435.27861716,6,0,0.207792207792,0.779220779221
Bud Taylor,Bantamweight,Orthodox,0.0777777777778,1246.39867584,1415.47808413,2,0,0.211111111111,0.661111111111
Walter McGowan,NA,NA,0.0769230769231,1262.47269153,1311.16485229,6,0,0.333333333333,0.794871794872
Ricardo Mayorga,Super Middleweight,Orthodox,0.0769230769231,1322.98350016,1390.88353682,2,0,0.615384615385,0.769230769231
Erich Schoppner,NA,NA,0.0769230769231,1254.57685997,1318.27761166,6,0,0.384615384615,0.846153846154
Dan Bucceroni,Heavyweight,Orthodox,0.0769230769231,1337.94700558,1438.61469054,3,0,0.576923076923,0.884615384615
Sixto Escobar,Bantamweight,Orthodox,0.0769230769231,1257.77837891,1311.66322543,5,2,0.246153846154,0.584615384615
Milton McCrory,Welterweight,Orthodox,0.0769230769231,1297.16580805,1397.50198706,6,0,0.589743589744,0.871794871795
Jerry Quarry,Heavyweight,Orthodox,0.0769230769231,1330.43266423,1444.07363641,7,0,0.476923076923,0.8
Kelvin Lampkin,NA,NA,0.0769230769231,1187.06741041,1233.61369284,0,0,0.179487179487,0.384615384615
Wladimir Klitschko,Heavyweight,Orthodox,0.0769230769231,1404.85922617,1524.0741738,13,5,0.723076923077,0.953846153846
Joe Huff,NA,NA,0.0769230769231,1192.67986278,1279.02069952,0,0,0.230769230769,0.538461538462
Marcos Rene Maidana,Welterweight,Orthodox,0.0769230769231,1302.01868946,1400.92868065,5,0,0.717948717949,0.871794871795
Greg Richardson,NA,NA,0.0769230769231,1243.35019901,1323.4578865,6,0,0.0769230769231,0.769230769231
Carmen Basilio,Welterweight,Orthodox,0.0769230769231,1230.80937303,1322.09639453,7,3,0.282051282051,0.705128205128
Lionel Rose,Bantamweight,Orthodox,0.0769230769231,1296.10260061,1389.01411696,4,1,0.230769230769,0.788461538462
Marlon Starling,NA,NA,0.0769230769231,1320.67466654,1408.69199963,8,1,0.5,0.846153846154
Ray Rychell,NA,NA,0.0769230769231,1226.21268936,1342.48714811,0,0,0.0,0.384615384615
Rodolfo Casanova,Bantamweight,Orthodox,0.0761904761905,1295.97886156,1424.76183873,0,0,0.47619047619,0.761904761905
Andy Callahan,Welterweight,Southpaw,0.0760869565217,1333.44743294,1432.80563318,5,0,0.271739130435,0.804347826087
Curtis Cokes,Welterweight,Orthodox,0.0759493670886,1272.76043838,1392.9946999,8,3,0.367088607595,0.772151898734
Chucho Castillo,Bantamweight,Orthodox,0.0757575757576,1261.34400626,1349.37955296,5,1,0.348484848485,0.712121212121
Howard Winstone,NA,NA,0.0757575757576,1379.7133839,1511.83881098,8,0,0.393939393939,0.909090909091
Paul Berlenbach,NA,NA,0.0754716981132,1264.64917581,1378.73061872,2,1,0.622641509434,0.754716981132
Bobby Leyvas,NA,NA,0.0754716981132,1216.65867552,1278.89823052,0,0,0.0754716981132,0.528301886792
Marco Huck,Cruiserweight,Orthodox,0.075,1326.2532949,1440.77564337,8,0,0.575,0.925
Brian Curvis,Welterweight,Southpaw,0.075,1313.8357586,1418.84597062,5,0,0.5,0.9
Ulises Solis,Flyweight,Orthodox,0.075,1257.88780874,1330.28026501,9,0,0.475,0.85
Byron Mitchell,Light Heavyweight,Orthodox,0.075,1319.08620628,1425.45861015,5,0,0.5,0.7
Luis Manuel Rodriguez,Welterweight,Orthodox,0.075,1442.42372598,1595.53668608,12,0,0.391666666667,0.883333333333
James Toney,Heavyweight,Orthodox,0.0747663551402,1344.23729979,1511.05969179,13,0,0.439252336449,0.831775700935
Ralph Dupas,NA,NA,0.0746268656716,1305.27136419,1391.0729189,11,0,0.134328358209,0.791044776119
Merv Darky Blandon,Featherweight,Orthodox,0.0746268656716,1254.06318195,1345.05870958,0,0,0.223880597015,0.746268656716
Mario D'Agata,Bantamweight,Orthodox,0.0746268656716,1240.83620504,1299.15084572,5,1,0.253731343284,0.791044776119
George Araujo,NA,NA,0.0746268656716,1314.02932489,1413.28731002,3,0,0.492537313433,0.850746268657
Ernie Terrell,Heavyweight,Orthodox,0.0740740740741,1327.91283337,1418.23869615,6,0,0.37037037037,0.833333333333
Alec Stanton,Heavyweight,Orthodox,0.0740740740741,1197.50263564,1215.88676119,0,0,0.407407407407,0.481481481481
John Ruiz,Heavyweight,Orthodox,0.0740740740741,1325.08591622,1428.67117384,6,0,0.537037037037,0.777777777778
Steve Travers,NA,NA,0.0740740740741,1220.65120496,1335.69667836,0,0,0.0555555555556,0.333333333333
Ike Quartey,Welterweight,Orthodox,0.0731707317073,1292.85711955,1390.93999532,11,0,0.731707317073,0.878048780488
Beau Jack,Lightweight,Orthodox,0.0731707317073,1252.48383641,1348.76972728,6,0,0.341463414634,0.739837398374
Jean Marc Mormeck,Cruiserweight,Orthodox,0.0731707317073,1311.86564021,1395.07714383,0,0,0.512195121951,0.878048780488
Henry Hank,Light Heavyweight,Orthodox,0.0729166666667,1255.4393745,1338.92199237,5,0,0.40625,0.635416666667
Andy Martin,NA,NA,0.0729166666667,1242.90447241,1314.8217754,5,0,0.0833333333333,0.604166666667
Isaac Logart,Welterweight,Orthodox,0.0727272727273,1257.33290408,1508.46355705,5,0,0.218181818182,0.618181818182
Junior Jones,Super Bantamweight,Orthodox,0.0727272727273,1343.41444641,1461.56481709,6,0,0.490909090909,0.890909090909
Terry Norris,Light Middleweight,Orthodox,0.0727272727273,1335.49524298,1431.13335522,9,0,0.509090909091,0.836363636364
Percy Hayles,NA,NA,0.0724637681159,1239.04843564,1349.45374818,0,0,0.144927536232,0.478260869565
Paulino Uzcudun,Heavyweight,Orthodox,0.0724637681159,1265.79965273,1317.79719811,0,0,0.478260869565,0.710144927536
Jorge Paez,Lightweight,Orthodox,0.0721649484536,1258.55842651,1337.17591914,4,0,0.484536082474,0.80412371134
Sal Bartolo,NA,NA,0.0721649484536,1278.19287211,1403.13189734,4,0,0.123711340206,0.752577319588
Celestino Caballero,Super Bantamweight,Orthodox,0.0714285714286,1311.59111467,1403.61975897,7,0,0.5,0.857142857143
Devon Alexander,Welterweight,Southpaw,0.0714285714286,1285.68786514,1362.7236159,4,0,0.392857142857,0.892857142857
James Scott,Light Heavyweight,Orthodox,0.0714285714286,1220.60494016,1247.9558081,5,0,0.357142857143,0.642857142857
Jake Zeramby,NA,NA,0.0714285714286,1311.36786174,1401.19558683,0,0,0.190476190476,0.857142857143
Muangchai Kittikasem,Flyweight,Orthodox,0.0714285714286,1276.06294879,1357.52428712,2,0,0.607142857143,0.857142857143
Michael Moorer,Heavyweight,Southpaw,0.0714285714286,1316.14881622,1445.17899956,10,0,0.660714285714,0.910714285714
Juan Laporte,Featherweight,Orthodox,0.0714285714286,1267.82006374,1334.24357039,0,0,0.375,0.696428571429
Carlos Teo Cruz,Lightweight,Orthodox,0.0714285714286,1267.65394557,1357.78833592,5,1,0.232142857143,0.75
Vicente Rondon,NA,NA,0.0714285714286,1261.89975751,1325.36980624,3,0,0.375,0.678571428571
Bruce Curry,Light Welterweight,Orthodox,0.0714285714286,1290.51774651,1370.6346176,5,0,0.404761904762,0.809523809524
Rosendo Alvarez,Minimumweight,Orthodox,0.0714285714286,1322.79715887,1470.52862401,7,0,0.547619047619,0.857142857143
Lupe Pintor,Bantamweight,Orthodox,0.0704225352113,1322.65506207,1445.86415034,7,0,0.577464788732,0.774647887324
Lou Scozza,NA,NA,0.0701754385965,1256.85841209,1332.5767875,4,0,0.236842105263,0.684210526316
Taffy Hancock,Flyweight,Orthodox,0.0701754385965,1212.4743432,1263.81094513,3,0,0.40350877193,0.614035087719
Bunty Doran,NA,NA,0.07,1283.68198691,1369.21382048,0,0,0.41,0.76
Guillermo Jones,Cruiserweight,Orthodox,0.0697674418605,1280.94187427,1338.32705338,5,0,0.697674418605,0.883720930233
Etienne Ferraro,NA,NA,0.0697674418605,1222.45510545,1323.80123495,0,0,0.0,0.186046511628
Vuyani Bungu,NA,NA,0.0697674418605,1330.10549363,1412.83134224,6,0,0.325581395349,0.883720930233
Ernesto Espana,NA,NA,0.0697674418605,1282.33368004,1368.22850714,2,0,0.651162790698,0.813953488372
Tiger Flowers,Middleweight,Southpaw,0.0697674418605,1287.09033085,1394.00561344,3,1,0.313953488372,0.78488372093
Joe Baksi,NA,NA,0.0694444444444,1258.9420902,1344.91731932,6,0,0.402777777778,0.833333333333
Harry Dublinsky,NA,NA,0.0694444444444,1230.23422147,1356.71535921,2,0,0.125,0.604166666667
Angel Espada,Welterweight,Orthodox,0.0689655172414,1270.60811445,1345.33894941,5,0,0.465517241379,0.758620689655
Tim Austin,Bantamweight,Southpaw,0.0689655172414,1231.0791346,1295.88563651,7,0,0.793103448276,0.896551724138
Tony Shucco,NA,NA,0.0689655172414,1279.31701644,1419.39218222,3,0,0.163793103448,0.75
Simon Brown,Welterweight,Orthodox,0.0689655172414,1323.77545101,1440.35688763,10,0,0.586206896552,0.793103448276
Cisco Andrade,NA,NA,0.0689655172414,1285.25915572,1355.86331075,4,0,0.396551724138,0.775862068966
Bucky Lawless,NA,NA,0.0687022900763,1246.10060802,1329.18071427,0,0,0.0687022900763,0.595419847328
Hiroshi Kobayashi,Super Featherweight,Orthodox,0.0686274509804,1265.65894637,1363.56091175,7,3,0.107843137255,0.696078431373
Benny Bass,Lightweight,Orthodox,0.0685483870968,1294.492129,1413.7660132,9,2,0.282258064516,0.770161290323
Bobby Boyd,Middleweight,Orthodox,0.0684931506849,1270.38146998,1375.73327594,3,0,0.342465753425,0.72602739726
Vivian Harris,Welterweight,Orthodox,0.0681818181818,1269.16636958,1350.30229278,6,0,0.386363636364,0.704545454545
Arthur Abraham,Super Middleweight,Orthodox,0.0681818181818,1325.23047516,1428.3148967,9,0,0.590909090909,0.909090909091
Little Cezar,NA,NA,0.0681818181818,1219.25366724,1278.10648534,1,0,0.25,0.5
Lou Brooks,NA,NA,0.0681818181818,1224.20200439,1298.47229796,1,0,0.363636363636,0.613636363636
Vinny Pazienza,Light Welterweight,Orthodox,0.0677966101695,1333.21845962,1429.96965374,8,0,0.474576271186,0.830508474576
Luisito Espinosa,Featherweight,Orthodox,0.0677966101695,1303.65869333,1387.65245466,9,0,0.406779661017,0.779661016949
Freddie Miller,Featherweight,Southpaw,0.0676691729323,1297.44065785,1444.0139021,9,2,0.161654135338,0.804511278195
Antonio Cervantes,Light Welterweight,Orthodox,0.0676691729323,1236.92838799,1385.28619971,8,5,0.390977443609,0.789473684211
Eddie Shea,NA,NA,0.0676691729323,1240.28842886,1329.6767151,7,0,0.375939849624,0.699248120301
Wesley Ramey,NA,NA,0.0673575129534,1282.33714088,1398.3754936,8,0,0.0569948186528,0.782383419689
Benny Lynch,Flyweight,Orthodox,0.0672268907563,1232.18688043,1364.01362897,4,1,0.268907563025,0.731092436975
Bob Foster,Light Heavyweight,Orthodox,0.0672268907563,1294.81823746,1462.40439253,8,6,0.512605042017,0.747899159664
Lou Brouillard,Middleweight,Southpaw,0.0671641791045,1326.04048556,1442.30674114,7,1,0.417910447761,0.746268656716
Tom Bethea,Light Heavyweight,Orthodox,0.0666666666667,1217.88981609,1313.85467815,1,0,0.133333333333,0.466666666667
Dave Charnley,Lightweight,Southpaw,0.0666666666667,1279.15231742,1379.27736325,7,0,0.416666666667,0.783333333333
Lou Ambers,Lightweight,Orthodox,0.0666666666667,1277.52177037,1382.61930221,7,3,0.257142857143,0.857142857143
Jose Antonio Aguirre,Minimumweight,Orthodox,0.0666666666667,1257.39587173,1303.99824985,9,0,0.466666666667,0.755555555556
Omar Andres Narvaez,Super Flyweight,Southpaw,0.0666666666667,1275.67258794,1380.85114722,12,0,0.422222222222,0.933333333333
Dado Marino,Flyweight,Orthodox,0.0666666666667,1250.98562539,1306.62151207,7,2,0.266666666667,0.746666666667
Mickey Colbert,NA,NA,0.0666666666667,1192.50250165,1240.46654093,0,0,0.244444444444,0.577777777778
Ernesto Marcel,Featherweight,Orthodox,0.0666666666667,1292.34479457,1364.96647762,3,0,0.488888888889,0.866666666667
Johnny Hill,Flyweight,Orthodox,0.0660377358491,1228.24855532,1295.14162217,3,0,0.245283018868,0.660377358491
Enrique Bolanos,Lightweight,Orthodox,0.0660377358491,1284.30991731,1362.21006512,7,0,0.396226415094,0.735849056604
Percy Pugh,NA,NA,0.0657894736842,1255.83556144,1312.66716806,4,0,0.0526315789474,0.618421052632
Anton Christoforidis,NA,NA,0.0657894736842,1266.48316508,1368.43418572,3,0,0.157894736842,0.697368421053
Harry Blitman,Featherweight,Southpaw,0.0657894736842,1254.65931872,1359.99703933,2,0,0.328947368421,0.802631578947
Carlos De Leon,Cruiserweight,Orthodox,0.0655737704918,1322.69051786,1410.24856832,0,0,0.524590163934,0.852459016393
Carmelo Costa,NA,NA,0.0652173913043,1252.83127343,1370.86245798,2,0,0.0652173913043,0.717391304348
Georgie Pace,NA,NA,0.0652173913043,1245.98166495,1307.93313064,3,0,0.282608695652,0.717391304348
Willie Jorrin,Super Bantamweight,Orthodox,0.0645161290323,1279.77656481,1368.09188154,3,0,0.387096774194,0.903225806452
Hedgemon Lewis,Welterweight,Orthodox,0.0645161290323,1297.09854261,1406.07025323,6,0,0.387096774194,0.838709677419
Iran Barkley,Middleweight,Orthodox,0.0645161290323,1225.89463849,1330.91673908,6,0,0.41935483871,0.677419354839
George Kaplan,NA,NA,0.0645161290323,1246.62955014,1293.91146731,0,0,0.41935483871,0.709677419355
Juan Carlos Salgado,Light Welterweight,Orthodox,0.0645161290323,1283.51684264,1354.99939308,4,0,0.516129032258,0.806451612903
Eddie Blunt,NA,NA,0.0645161290323,1233.57777503,1321.62716991,0,0,0.225806451613,0.564516129032
Maurice Harper,Welterweight,Orthodox,0.0645161290323,1293.70882755,1372.51894361,1,0,0.129032258065,0.838709677419
Sam Hampton,NA,NA,0.0645161290323,1235.84744493,1297.1479565,0,0,0.548387096774,0.677419354839
Jimmy Slattery,Light Heavyweight,Orthodox,0.0642857142857,1340.97691321,1518.9111038,6,0,0.364285714286,0.842857142857
Kid Francis,Bantamweight,Orthodox,0.0641025641026,1243.06140534,1387.75450874,5,0,0.134615384615,0.692307692308
Jackie Snyder,NA,NA,0.0641025641026,1231.30072037,1344.47567044,1,0,0.102564102564,0.653846153846
Bob Satterfield,Heavyweight,Orthodox,0.0641025641026,1222.9681822,1318.80809845,6,0,0.435897435897,0.628205128205
Lester Felton,NA,NA,0.0641025641026,1277.80001578,1390.84184815,1,0,0.269230769231,0.74358974359
Frank Fletcher,Middleweight,Southpaw,0.063829787234,1252.45856153,1347.93994029,4,0,0.31914893617,0.510638297872
Lem Franklin,NA,NA,0.063829787234,1254.58832121,1322.79212147,2,0,0.595744680851,0.68085106383
Renaldo Snipes,Heavyweight,Orthodox,0.063829787234,1289.41353053,1355.19880203,2,0,0.446808510638,0.808510638298
Paul Pender,Middleweight,Orthodox,0.063829787234,1296.22567763,1361.97843686,3,1,0.404255319149,0.829787234043
Clinton Woods,Light Heavyweight,Orthodox,0.063829787234,1300.86631634,1394.28657029,7,0,0.489361702128,0.872340425532
Phil Milligan,NA,NA,0.063829787234,1179.91327632,1247.63462943,2,0,0.234042553191,0.446808510638
Freddie Norwood,Featherweight,Southpaw,0.063829787234,1217.24275388,1292.98392486,4,0,0.468085106383,0.893617021277
Steve Hamas,Heavyweight,Orthodox,0.063829787234,1291.79007952,1362.12642959,2,0,0.595744680851,0.765957446809
Wayne Thornton,Light Heavyweight,Orthodox,0.063829787234,1327.39397396,1431.79071891,3,0,0.468085106383,0.787234042553
John Henry Lewis,Light Heavyweight,Orthodox,0.0636363636364,1278.44177222,1385.86885255,7,4,0.5,0.872727272727
Willie Joyce,Lightweight,Orthodox,0.0634920634921,1253.93135615,1372.36124559,5,0,0.166666666667,0.642857142857
Jack 'Kid' Berg,Welterweight,Orthodox,0.0628272251309,1285.44070752,1458.76452182,0,0,0.303664921466,0.816753926702
Shoji Oguma,Flyweight,Southpaw,0.0625,1278.03449056,1352.95232446,5,1,0.395833333333,0.770833333333
Knute Hansen,Heavyweight,Orthodox,0.0625,1202.64992851,1248.96514437,3,0,0.28125,0.5
Roger Rouse,NA,NA,0.0625,1217.00763806,1287.99105604,3,0,0.265625,0.5625
Vince Dundee,NA,NA,0.0625,1284.90514062,1404.13231224,7,0,0.1875,0.7625
Freddie Pope,NA,NA,0.0625,1226.77583204,1325.47632695,0,0,0.421875,0.796875
Alan Minter,Middleweight,Southpaw,0.0625,1311.49589172,1388.65292187,4,0,0.458333333333,0.791666666667
William Joppy,Middleweight,Orthodox,0.0625,1317.31147348,1431.65479156,9,0,0.604166666667,0.8125
Fernando Sotelo,NA,NA,0.0625,1231.2063146,1287.79989234,0,0,0.4375,0.645833333333
Fernando Cabanela,Bantamweight,Orthodox,0.0625,1209.42253357,1252.40438848,0,0,0.208333333333,0.583333333333
Arturo Gatti,Super Featherweight,Orthodox,0.0625,1318.26120646,1408.92889994,11,0,0.604166666667,0.8125
Sandy Saddler,Featherweight,Orthodox,0.0621118012422,1335.56525448,1509.01711366,11,8,0.596273291925,0.888198757764
Gus Dorazio,NA,NA,0.0618556701031,1275.11290739,1380.59322511,2,0,0.20618556701,0.742268041237
Joe Dundee,Welterweight,Orthodox,0.0615384615385,1250.19372966,1341.17263982,4,2,0.192307692308,0.7
Tait Littman,NA,NA,0.0615384615385,1234.85324854,1290.75209265,1,0,0.307692307692,0.646153846154
Daniel Zaragoza,Super Bantamweight,Southpaw,0.0615384615385,1309.00131099,1383.83340446,8,0,0.415384615385,0.830769230769
Doug Ratford,Welterweight,Orthodox,0.0615384615385,1252.23421784,1368.18960016,0,0,0.138461538462,0.523076923077
Ken Norton,Heavyweight,Orthodox,0.0612244897959,1336.17357933,1428.50597648,8,0,0.612244897959,0.836734693878
Marvin Johnson,Light Heavyweight,Southpaw,0.0612244897959,1310.33320272,1416.135251,9,0,0.69387755102,0.857142857143
Hugo Fidel Cazares,Super Bantamweight,Southpaw,0.0612244897959,1265.19321313,1332.31699641,7,1,0.530612244898,0.816326530612
Cuban Bobby Brown,NA,NA,0.0612244897959,1219.15775002,1278.20284009,1,0,0.530612244898,0.714285714286
Dariusz Michalczewski,Light Heavyweight,Orthodox,0.0612244897959,1348.27638446,1466.43518919,11,0,0.69387755102,0.918367346939
Ken Overlin,Middleweight,Orthodox,0.0609756097561,1324.56046404,1467.00370594,7,0,0.140243902439,0.823170731707
Bernardo Caraballo,NA,NA,0.0606060606061,1251.44944226,1347.32166462,6,0,0.363636363636,0.757575757576
Charlie Weir,NA,NA,0.0606060606061,1315.81711279,1409.05578618,2,0,0.69696969697,0.909090909091
Adrian Hernandez,Flyweight,Orthodox,0.0606060606061,1264.68981628,1311.61130304,3,0,0.515151515152,0.878787878788
Beibis Mendoza,Light Flyweight,Orthodox,0.0606060606061,1292.38193597,1375.54551699,5,0,0.69696969697,0.878787878788
Rocky Castellani,Middleweight,Orthodox,0.0602409638554,1274.73258515,1381.50007221,5,0,0.192771084337,0.795180722892
Floyd Robertson,NA,NA,0.06,1238.75633708,1335.59827107,3,0,0.2,0.66
Pete Gonzalez,NA,NA,0.06,1239.64548848,1313.78964412,1,0,0.14,0.54
Ron Lyle,Heavyweight,Orthodox,0.06,1311.49303889,1394.69725966,7,0,0.58,0.84
Oscar Bonavena,Heavyweight,Orthodox,0.0597014925373,1325.27556306,1446.18456769,8,0,0.597014925373,0.850746268657
Ace Hudkins,NA,NA,0.0594059405941,1235.32548285,1330.86045263,5,0,0.237623762376,0.673267326733
Sandro Mazzinghi,Light Middleweight,Orthodox,0.0588235294118,1390.75240016,1513.06098216,6,0,0.558823529412,0.926470588235
George Courtney,NA,NA,0.0588235294118,1292.76017891,1429.46903164,6,0,0.392156862745,0.78431372549
John Thomas,Lightweight,Orthodox,0.0588235294118,1251.98855169,1369.20353888,4,0,0.257352941176,0.647058823529
Hank Hankinson,Heavyweight,Orthodox,0.0588235294118,1276.301558,1347.20775479,1,0,0.529411764706,0.661764705882
Tim Witherspoon,Heavyweight,Orthodox,0.0588235294118,1312.92935451,1449.25570121,12,0,0.529411764706,0.794117647059
Daniel Ponce De Leon,Super Bantamweight,Southpaw,0.0588235294118,1328.12966896,1445.30482245,0,0,0.666666666667,0.862745098039
Bobby Czyz,Light Heavyweight,Orthodox,0.0588235294118,1318.72938208,1441.8281539,8,0,0.509803921569,0.843137254902
Barry McGuigan,Featherweight,Orthodox,0.0588235294118,1313.09010793,1405.9034004,3,1,0.735294117647,0.911764705882
Tony Olivera,NA,NA,0.0588235294118,1239.03346044,1337.73604886,8,0,0.260504201681,0.655462184874
Chris John,Featherweight,Orthodox,0.0588235294118,1284.12275371,1349.98262737,9,0,0.372549019608,0.921568627451
Roxie Allen,NA,NA,0.0588235294118,1222.3636376,1306.29577782,0,0,0.0441176470588,0.544117647059
Brandon Rios,Welterweight,Orthodox,0.0588235294118,1255.4363444,1337.47823879,3,0,0.647058823529,0.911764705882
George Foreman,Heavyweight,Orthodox,0.0588235294118,1399.07418887,1539.47000342,13,1,0.764705882353,0.882352941176
Dominick Petrone,NA,NA,0.0582524271845,1216.27391065,1301.63349484,2,0,0.0485436893204,0.47572815534
Cocoa Kid,Welterweight,Orthodox,0.0581395348837,1261.45984892,1416.5775223,7,0,0.186046511628,0.68992248062
Phil McGraw,NA,NA,0.0581395348837,1231.55114543,1379.02066157,3,0,0.127906976744,0.453488372093
Salvador Sanchez,Super Bantamweight,Orthodox,0.0581395348837,1293.5182894,1404.51551707,3,2,0.581395348837,0.883720930233
Joe Curran,NA,NA,0.058064516129,1223.03820178,1286.75824053,9,0,0.193548387097,0.541935483871
Max Schmeling,Heavyweight,Orthodox,0.0579710144928,1243.31851431,1340.05862014,10,2,0.550724637681,0.782608695652
Alfredo Escalera,Super Featherweight,Orthodox,0.0579710144928,1248.70112807,1321.68666951,6,0,0.420289855072,0.753623188406
Michael Carbajal,Light Flyweight,Orthodox,0.0576923076923,1341.20235184,1446.8753761,8,0,0.634615384615,0.923076923077
Zab Judah,Welterweight,Southpaw,0.0576923076923,1286.92919402,1386.19221019,14,1,0.538461538462,0.788461538462
Edwin Rosario,Lightweight,Orthodox,0.0576923076923,1330.99262524,1435.66127121,10,0,0.730769230769,0.884615384615
Angel Manfredy,Super Featherweight,Orthodox,0.0576923076923,1302.78208149,1410.06516345,6,0,0.576923076923,0.826923076923
Jimmy Warnock,NA,NA,0.0574712643678,1254.20087818,1359.84955498,3,0,0.275862068966,0.735632183908
Andre Routis,NA,NA,0.0574712643678,1215.56001382,1292.57648223,2,1,0.137931034483,0.632183908046
Antonio Esparragoza,NA,NA,0.0571428571429,1244.73873493,1317.14176283,5,2,0.742857142857,0.828571428571
Tommy Burney,NA,NA,0.0571428571429,1181.611624,1202.51857814,2,0,0.2,0.457142857143
Charley Doc Williams,NA,NA,0.0571428571429,1253.51174999,1328.58227986,0,0,0.314285714286,0.728571428571
Bushy Graham,Bantamweight,Orthodox,0.0568181818182,1240.49889254,1332.01494706,5,0,0.227272727273,0.659090909091
Joey Archibald,NA,NA,0.0566037735849,1223.8037939,1350.31975804,4,1,0.254716981132,0.556603773585
Al Mello,Welterweight,Southpaw,0.0566037735849,1308.40510722,1391.33828763,3,0,0.415094339623,0.811320754717
Willie Toweel,NA,NA,0.0566037735849,1261.8105686,1346.06096218,5,0,0.377358490566,0.849056603774
Mickey McKay,Bantamweight,Southpaw,0.0566037735849,1183.44749946,1223.10828541,0,0,0.0,0.358490566038
